word,origin,category,root,first_use,history,modern_relatives
admiral,Arabic,Arabic,amir al-bahr (commander of the sea),13th century,"From Arabic amir al-bahr, 'commander of the sea.' The title came to Europe through contact with Arab naval forces in the Mediterranean. Medieval Europeans, confused by the Arabic title structure, sometimes shortened it to 'amiral' and sometimes mistook al- as part of the word. The -d- in English admiral appears to be a misreading of the Arabic.",emir; emirate
alcohol,Arabic,Arabic,al-kohl (the antimony),16th century,"From Arabic al-kohl, originally referring to finely powdered antimony used as an eye cosmetic (kohl). Medieval alchemists extended the term to any fine powder, then to purified essences and spirits obtained by distillation. By the 17th century it specifically meant the intoxicating element in fermented drinks.",kohl
algebra,Arabic,Arabic,al-jabr (reunion of broken parts),16th century,"In the 9th century, the Baghdad mathematician al-Khwarizmi wrote a book titled Al-kitab al-mukhtasar fi hisab al-jabr wal-muqabala. Al-jabr was his term for moving terms across an equation, ""reunion of broken parts."" Medieval European scholars borrowed just that word from the title, and the technique it named became the discipline. His own name, latinized, gave us ""algorithm.""",algorithm
anger,Old Norse,Old Norse,"angr (grief, sorrow)",13th century,"From Old Norse angr, meaning 'grief' or 'sorrow', a wider emotional suffering rather than specifically hot temper. Related to Old Norse angra (to distress). The shift from general anguish to specifically hostile emotion happened in English after the Norse settlement. The root also connects to 'anguish.'",anguish; anxiety
arena,Latin,Latin,harena (sand),17th century,"Sand covered the floor of every Roman amphitheater. It soaked up the blood of gladiators and animals, and the Latin word for sand (harena, later arena) became the name of the space itself. Every sports arena today is named after that sand pit.",
assassin,Arabic,Arabic,Hashshashin (nickname; hashish link disputed),13th century,"From medieval Latin assassinus, from Arabic Hashshashin, a nickname outsiders gave the Nizari Ismaili sect encountered by Crusaders. Medieval European chroniclers (Marco Polo, William of Tyre) glossed the name as 'hashish users,' and that reading spread through Europe. Modern scholarship, notably Farhad Daftary's The Assassin Legends (1994), treats it as a pejorative slur from the sect's enemies, not a description of actual drug use. The name reached English through those Crusader accounts regardless of whether the hashish link is real.",
atlas,Greek,Greek,Atlas (a Titan who held up the sky),16th century,"The Titan Atlas holds up the sky on his shoulders in Greek myth, condemned to that punishment forever. Flemish cartographer Gerardus Mercator put an image of Atlas on the cover of his 1595 map collection, and readers started calling any book of maps by the same name.",
average,Arabic,Arabic,awariya (damaged goods),15th century,"From Arabic awariya, meaning goods damaged by seawater during shipping. When cargo was damaged, merchants who shared the ship divided the financial loss proportionally among themselves, they calculated the 'average' cost. The mathematical sense of a middle value developed from this mercantile practice.",
awful,Old English,Old English,"ege (fear, terror)",Old English,"Originally meant 'inspiring awe and reverence', full of awe. An awful God was one deserving profound reverence and fear. Through the 19th century, 'awful' meant either 'awe-inspiring' or 'terrible,' both senses active simultaneously. By the 20th century, only the negative sense survived. The original positive meaning lives on in 'awesome.'",awe; awesome
ballet,French,French,"balletto (little ball, dance)",17th century,"Louis XIV was a serious dancer. He performed in court productions for two decades and codified the technique at the Académie Royale de Danse in 1661, which is why every position, jump, and turn in ballet still has a French name. The Italian courts of the 15th and 16th centuries developed the art form (balletto, ""little dance""), but the vocabulary is French because Louis said so.",ballroom; ball
bedlam,Old English,Old English,Bethlem (Bethlehem),15th century,"A corruption of 'Bethlem', short for the Hospital of Saint Mary of Bethlehem in London, founded in 1247. By the 14th century it housed the mentally ill, and by the 16th century it was notorious for the chaos and screaming within its walls. Visitors paid to watch the inmates as a form of entertainment. 'Bedlam' became a byword for chaotic disorder.",
